ID_API	id_power_plant	Usina	Bacia
GRCAMA	2	CAMARGOS	Grande
GRECUN	4	EDACUNHA	Grande
IGGBMU	32	FOA	Iguacu
IGSCL	35	STACLARA	Iguacu
PRTIR1	168	ILHAEQUIV	Paraná
PNUCB4	18	CORUMBAIV	Paranaiba
PNUHES	112	ESPORA	Paranaiba
PNUFRC	113	FOZCLARO	Paranaiba
PNITUM	20	ITUMBIARA	Paranaiba
PNNPON	21	NOVAPONTE	Paranaiba
PNSV	114	SALTOVERDI	Paranaiba
PNUHSF	23	SDOFACAO	Paranaiba
PPJURU	28	JURUMIRIM	Paranapanema
SFQMDO	93	QM	Sao Francisco
SFUHRB	48	RB-SMAP	Sao Francisco
TIEDSO	97	ESOUZA	Tiete
TOSMES	47	SMESA	Tocantins
RIUHBG	51	BG	Uruguai
RIUHCN	52	CN	Uruguai
RIUHMO	56	MONJOLINHO	Uruguai
RIUQQX	57	QQUEIXO	Uruguai
IGUHSJ	58	SJOAO	Uruguai
